player,market,line,over_odds,under_odds,over_implied_prob,under_implied_prob,over_EV,under_EV,log_over_proba,log_under_proba,rf_over_proba,rf_under_proba
brandon ingram,points,24.5,-115.0,-110.0,0.5348837209302325,0.5238095238095238,-0.8085115612988875,0.7135540890219083,0.10242404860757179,0.8975759513924282,0.28150394666581247,0.7184960533341878
dillon brooks,points,12.5,100.0,-125.0,0.5,0.5555555555555556,-0.20588948598605722,0.08530053738745147,0.39705525700697136,0.6029447429930286,0.20791813343609428,0.7920818665639058
herbert jones,points,9.5,-120.0,-105.0,0.5454545454545454,0.5121951219512195,-0.08333333333333331,-0.023809523809523836,0.5,0.5,0.31125224487859476,0.6887477551214051
jalen green,points,23.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,-0.023809523809523836,-0.08333333333333331,0.5,0.5,0.2905218203802671,0.709478179619733
jonas valanciunas,points,12.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,0.4374149706987098,-0.5164343830544795,0.7362369362115343,0.2637630637884657,0.786032537033686,0.21396746296631405
grant williams,points,10.5,-120.0,-110.0,0.5454545454545454,0.5238095238095238,-0.08333333333333331,-0.04545454545454547,0.5,0.5,0.12877606831733712,0.8712239316826625
ivica zubac,points,10.5,100.0,-130.0,0.5,0.5652173913043478,-0.03809671010954707,-0.08168367951847755,0.48095164494522646,0.5190483550547735,0.2993039021216416,0.7006960978783586
james harden,points,16.5,-125.0,-105.0,0.5555555555555556,0.5121951219512195,0.35692523673795906,-0.519416262070273,0.7538473537433106,0.24615264625668942,0.9057630103668793,0.09423698963312054
kawhi leonard,points,22.5,-135.0,105.0,0.574468085106383,0.4878048780487805,-0.005214715027320294,-0.12151841538803876,0.5714723977502628,0.4285276022497372,0.8338791714707976,0.16612082852920262
kyrie irving,points,22.5,-125.0,-105.0,0.5555555555555556,0.5121951219512195,0.16638040076594152,-0.3127406463334287,0.6479891115366342,0.3520108884633658,0.5100448477286177,0.48995515227138225
luka doncic,points,28.5,-125.0,-105.0,0.5555555555555556,0.5121951219512195,0.6558753441863727,-0.8436743151227851,0.919930746770207,0.08006925322979297,0.728612264330868,0.2713877356691318
norman powell,points,11.5,-105.0,-125.0,0.5121951219512195,0.5555555555555556,0.5242757655537574,-0.6053079009251715,0.7807266116250953,0.21927338837490473,0.4543788129338976,0.5456211870661023
paul george,points,22.5,105.0,-130.0,0.4878048780487805,0.5652173913043478,-0.7019341334552789,0.5119881827193777,0.14539798368035176,0.8546020163196483,0.21050342063717603,0.7894965793628237
russell westbrook,points,14.5,-110.0,-115.0,0.5238095238095238,0.5348837209302325,0.3455028811040485,-0.44808046120541395,0.704787223435454,0.29521277656454603,0.8087342089809322,0.19126579101906757
tim hardaway jr.,points,15.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,-0.10663275199556754,-0.005560301987902028,0.45757834653885565,0.5424216534611443,0.6963997219875904,0.3036002780124094
anthony davis,points,23.5,-115.0,-115.0,0.5348837209302325,0.5348837209302325,0.11064248648267694,-0.24107726909137261,0.5940645857930598,0.40593541420694024,0.7598067338701874,0.2401932661298124
austin reaves,points,13.5,-125.0,-105.0,0.5555555555555556,0.5121951219512195,-0.10793603029662646,-0.01520166026027292,0.4955910942796519,0.504408905720348,0.6326821761190702,0.3673178238809298
bradley beal,points,16.5,-125.0,-105.0,0.5555555555555556,0.5121951219512195,0.5183193878941007,-0.6944734101496859,0.8435107710522781,0.15648922894772188,0.9527119514472456,0.047288048552754425
christian wood,points,7.5,-125.0,100.0,0.5555555555555556,0.5,0.5695120943840508,-0.7439023270933898,0.8719511635466949,0.12804883645330511,0.8694627215287813,0.13053727847121846
d'angelo russell,points,15.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,0.1242940200226631,-0.22240617327331375,0.5758579126945348,0.4241420873054652,0.7797170321733059,0.22028296782669454
eric gordon,points,10.5,-125.0,100.0,0.5555555555555556,0.5,0.10646396598589813,-0.22940440665099793,0.614702203325499,0.38529779667450104,0.2608145996352393,0.7391854003647609
grayson allen,points,12.5,-110.0,-115.0,0.5238095238095238,0.5348837209302325,-0.04545454545454547,-0.06521739130434784,0.5,0.5,0.15721812245861308,0.8427818775413869
jusuf nurkic,points,10.5,100.0,-125.0,0.5,0.5555555555555556,-0.18157482336600683,0.06341734102940616,0.4092125883169966,0.5907874116830034,0.2205673134533397,0.7794326865466603
keita bates-diop,points,7.5,-120.0,-105.0,0.5454545454545454,0.5121951219512195,0.820680110393099,-0.9865251392065036,0.9930982420325994,0.006901757967400557,0.8105111226870301,0.18948887731296982
kevin durant,points,28.5,-120.0,-105.0,0.5454545454545454,0.5121951219512195,-0.1011533437357619,-0.0048323698744699994,0.49027999432594804,0.509720005674052,0.31035827045097436,0.6896417295490255
lebron james,points,23.5,-110.0,-120.0,0.5238095238095238,0.5454545454545454,0.3587019272435352,-0.47145185076561713,0.7117010095085184,0.28829899049148155,0.44649464391229154,0.5535053560877086
rui hachimura,points,8.5,-110.0,-120.0,0.5238095238095238,0.5454545454545454,0.4394199670101844,-0.5489667937161294,0.7539818874815252,0.24601811251847483,0.8380929180664843,0.16190708193351575
taurean prince,points,8.5,105.0,-130.0,0.4878048780487805,0.5652173913043478,0.025000000000000022,-0.11538461538461536,0.5,0.5,0.5669376328585738,0.43306236714142604
domantas sabonis,points,20.5,-115.0,-115.0,0.5348837209302325,0.5348837209302325,-0.06521739130434784,-0.06521739130434784,0.5,0.5,0.6295317405930821,0.37046825940691763
harrison barnes,points,12.5,-110.0,-115.0,0.5238095238095238,0.5348837209302325,0.2073696493816326,-0.31280713076089495,0.6324317211046647,0.3675682788953353,0.4167398837557998,0.5832601162442002
josh giddey,points,13.5,-125.0,100.0,0.5555555555555556,0.5,-0.16349987102132596,0.07055541224591777,0.4647222938770411,0.5352777061229589,0.773502055058552,0.2264979449414479
kevin huerter,points,14.5,-110.0,-115.0,0.5238095238095238,0.5348837209302325,-0.04545454545454547,-0.06521739130434784,0.5,0.5,0.35604086990313144,0.6439591300968688
malik monk,points,17.5,-105.0,-125.0,0.5121951219512195,0.5555555555555556,-0.023809523809523836,-0.09999999999999998,0.5,0.5,0.18809807392309014,0.8119019260769099
shai gilgeous-alexander,points,30.5,-110.0,-115.0,0.5238095238095238,0.5348837209302325,0.7711887753139741,-0.8649529828644095,0.9277655489739864,0.07223445102601356,0.7732992984254113,0.22670070157458888
