player,market,line,over_odds,under_odds,over_implied_prob,under_implied_prob,over_EV,under_EV,log_over_proba,log_under_proba,rf_over_proba,rf_under_proba
de'anthony melton,points,8.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,0.21003628684564657,-0.30292025309489584,0.6197746835063068,0.3802253164936932,0.4646978637731402,0.5353021362268597
isaiah stewart,points,10.5,100.0,-130.0,0.5,0.5652173913043478,0.5809160355218255,-0.6292718775769994,0.7904580177609127,0.20954198223908727,0.7386200132817167,0.26137998671828305
joel embiid,points,29.5,-125.0,-105.0,0.5555555555555556,0.5121951219512195,-0.12767590033967469,0.006209309892239667,0.4846244998112918,0.5153755001887081,0.3472178992457341,0.6527821007542659
kelly oubre jr.,points,13.5,-135.0,105.0,0.574468085106383,0.4878048780487805,-0.10580269915787477,-0.0030600128002474802,0.513687811122072,0.48631218887792804,0.40881373893871187,0.5911862610612881
killian hayes,points,11.5,105.0,-135.0,0.4878048780487805,0.574468085106383,0.025000000000000022,-0.12962962962962965,0.5,0.5,0.14465273842389562,0.8553472615761046
tobias harris,points,16.5,-110.0,-120.0,0.5238095238095238,0.5454545454545454,-0.04545454545454547,-0.08333333333333331,0.5,0.5,0.19250771610724055,0.8074922838927594
tyrese maxey,points,22.5,-135.0,105.0,0.574468085106383,0.4878048780487805,-0.12962962962962965,0.025000000000000022,0.5,0.5,0.24324024277949874,0.7567597572205013
corey kispert,points,10.5,-110.0,-115.0,0.5238095238095238,0.5348837209302325,-0.04545454545454547,-0.06521739130434784,0.5,0.5,0.5605048744292218,0.4394951255707784
daniel gafford,points,9.5,-130.0,100.0,0.5652173913043478,0.5,-0.13296575745182593,0.019874334510759706,0.4900628327446201,0.5099371672553799,0.24667525123414444,0.7533247487658552
danilo gallinari,points,8.5,-115.0,-110.0,0.5348837209302325,0.5238095238095238,0.31334614293803786,-0.4320215370804911,0.7024874718040668,0.2975125281959332,0.8592975480418616,0.14070245195813816
deni avdija,points,12.5,-105.0,-125.0,0.5121951219512195,0.5555555555555556,-0.023809523809523836,-0.09999999999999998,0.5,0.5,0.13314945119411242,0.8668505488058875
gordon hayward,points,19.5,-105.0,-125.0,0.5121951219512195,0.5555555555555556,-0.023809523809523836,-0.09999999999999998,0.5,0.5,0.2837272191607067,0.7162727808392932
jordan poole,points,19.5,-115.0,-110.0,0.5348837209302325,0.5238095238095238,-0.048357152227658795,-0.06267123778866979,0.5090182674131127,0.49098173258688727,0.5686655555124095,0.43133444448759045
kyle kuzma,points,25.5,-115.0,-115.0,0.5348837209302325,0.5348837209302325,-0.06521739130434784,-0.06521739130434784,0.5,0.5,0.04953959632693631,0.9504604036730642
lamelo ball,points,27.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,-0.023809523809523836,-0.08333333333333331,0.5,0.5,0.048517983690939674,0.9514820163090603
nick richards,points,7.5,-105.0,-125.0,0.5121951219512195,0.5555555555555556,-0.023809523809523836,-0.09999999999999998,0.5,0.5,0.1416052975442695,0.8583947024557306
p.j. washington,points,16.5,-115.0,-110.0,0.5348837209302325,0.5238095238095238,-0.06521739130434784,-0.04545454545454547,0.5,0.5,0.8501889244795784,0.14981107552042136
theo maledon,points,7.5,-110.0,-120.0,0.5238095238095238,0.5454545454545454,-0.04545454545454547,-0.08333333333333331,0.5,0.5,0.17157439788096712,0.8284256021190326
tyus jones,points,8.5,-155.0,120.0,0.6078431372549019,0.45454545454545453,0.10437992578985361,-0.276837469389569,0.6712897588134404,0.32871024118655956,0.7852765081373293,0.21472349186267078
derrick white,points,13.5,-105.0,-125.0,0.5121951219512195,0.5555555555555556,0.2212663863314921,-0.3259480342275708,0.6255266856819838,0.3744733143180162,0.7451365314805161,0.2548634685194838
dorian finney-smith,points,11.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,-0.023809523809523836,-0.08333333333333331,0.5,0.5,0.16768505861474242,0.8323149413852581
jaylen brown,points,21.5,-135.0,110.0,0.574468085106383,0.47619047619047616,0.16794961733690383,-0.3089945383617542,0.6709497801722639,0.3290502198277361,0.8410002710662776,0.15899972893372208
jayson tatum,points,26.5,-125.0,-105.0,0.5555555555555556,0.5121951219512195,0.10531622241045902,-0.24650701372563016,0.6140645680058106,0.38593543199418945,0.7354147145039278,0.2645852854960719
jrue holiday,points,13.5,-125.0,-105.0,0.5555555555555556,0.5121951219512195,0.07498481326542089,-0.21360786624027134,0.597213785147456,0.40278621485254396,0.4585080678931497,0.5414919321068505
kristaps porzingis,points,20.5,100.0,-125.0,0.5,0.5555555555555556,0.13467684502820032,-0.22120916052538026,0.5673384225141002,0.43266157748589984,0.7937833808140495,0.2062166191859503
mikal bridges,points,24.5,-110.0,-115.0,0.5238095238095238,0.5348837209302325,-0.04545454545454547,-0.06521739130434784,0.5,0.5,0.611931545054988,0.38806845494501196
royce o'neale,points,10.5,-110.0,-115.0,0.5238095238095238,0.5348837209302325,-0.04545454545454547,-0.06521739130434784,0.5,0.5,0.6607961287788613,0.33920387122113843
sam hauser,points,7.5,-115.0,-115.0,0.5348837209302325,0.5348837209302325,-0.06521739130434784,-0.06521739130434784,0.5,0.5,0.14313263916312277,0.8568673608368768
spencer dinwiddie,points,14.5,-105.0,-125.0,0.5121951219512195,0.5555555555555556,0.005804699312092543,-0.12730286912188044,0.5151682606232669,0.4848317393767331,0.6295842156354862,0.37041578436451367
anthony edwards,points,26.5,-120.0,-105.0,0.5454545454545454,0.5121951219512195,-0.21560503117893154,0.11705124532474964,0.4278518011751283,0.5721481988248718,0.20424625119100198,0.7957537488089979
jaden mcdaniels,points,10.5,-110.0,-120.0,0.5238095238095238,0.5454545454545454,-0.05802569429654253,-0.0712610396041139,0.4934151125113349,0.5065848874886651,0.28009178440930355,0.7199082155906963
karl-anthony towns,points,21.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,0.017583323740362033,-0.12220222676432374,0.521201214598722,0.47879878540127796,0.3612850366604316,0.6387149633395682
keldon johnson,points,18.5,100.0,-125.0,0.5,0.5555555555555556,0.2740522199655764,-0.3466469979690187,0.6370261099827882,0.3629738900172118,0.7963464674343134,0.2036535325656866
kyle anderson,points,7.5,105.0,-135.0,0.4878048780487805,0.574468085106383,0.14453729107484903,-0.23113374309878776,0.5583108736950483,0.4416891263049517,0.8037372580545404,0.19626274194545928
mike conley,points,10.5,-130.0,100.0,0.5652173913043478,0.5,0.41034298261807467,-0.5943007629595627,0.7971503814797813,0.20284961852021866,0.8032546939485838,0.1967453060514165
naz reid,points,12.5,-120.0,-105.0,0.5454545454545454,0.5121951219512195,-0.08333333333333331,-0.023809523809523836,0.5,0.5,0.6535188339846972,0.3464811660153028
rudy gobert,points,13.5,-120.0,-110.0,0.5454545454545454,0.5238095238095238,-0.2776406162563595,0.15688196403554788,0.394014209314713,0.605985790685287,0.30962116237375736,0.6903788376262432
collin sexton,points,10.5,100.0,-125.0,0.5,0.5555555555555556,0.4642390105242946,-0.5178151094718652,0.7321195052621473,0.2678804947378527,0.9749462644005276,0.02505373559947233
desmond bane,points,26.5,-120.0,-105.0,0.5454545454545454,0.5121951219512195,-0.08333333333333331,-0.023809523809523836,0.5,0.5,0.050986234193030666,0.9490137658069692
jaren jackson jr.,points,25.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,-0.023809523809523836,-0.08333333333333331,0.5,0.5,0.0790729899792407,0.9209270100207592
john collins,points,14.5,100.0,-125.0,0.5,0.5555555555555556,-0.5516263679287396,0.39646373113586575,0.22418681603563023,0.7758131839643698,0.2728134486773795,0.7271865513226204
jordan clarkson,points,19.5,-105.0,-120.0,0.5121951219512195,0.5454545454545454,0.12354708385308621,-0.22170478199212562,0.5754753356320685,0.42452466436793146,0.23396766953020445,0.7660323304697952
lauri markkanen,points,24.5,-110.0,-120.0,0.5238095238095238,0.5454545454545454,0.7851540794010968,-0.8809812984724819,0.9350807082577174,0.06491929174228261,0.7881992952286738,0.21180070477132631
marcus smart,points,13.5,-110.0,-120.0,0.5238095238095238,0.5454545454545454,0.06234593327111437,-0.1868560152841654,0.5564669174277266,0.4435330825722734,0.674161987909864,0.3258380120901358
ziaire williams,points,8.5,-120.0,-110.0,0.5454545454545454,0.5238095238095238,-0.08333333333333331,-0.04545454545454547,0.5,0.5,0.07203684124880672,0.9279631587511932
alperen sengun,points,16.5,-105.0,-125.0,0.5121951219512195,0.5555555555555556,-0.023809523809523836,-0.09999999999999998,0.5,0.5,0.13009377933543853,0.8699062206645617
